"We can't find products matching the selection.","We can't find products matching the selection."
"Add to Cart","Add to Cart"
"In stock","In stock"
"Out of stock","Out of stock"
"Learn More","Learn More"
"Related Products","Related Products"
Component,Component
"We found other products you might like!","We found other products you might like!"
"Up Sell","Up Sell"
"More Choices:","More Choices:"
"Cross Sell","Cross Sell"
"New Products","New Products"
"Check items to add to the cart or","Check items to add to the cart or"
"select all","select all"
"%1 Search result found for ""%2""","%1 Search result found for ""%2"""
"More Information","More Information"
"* Required Fields","* Required Fields"
"Contact Seller","Contact Seller"
"Add to Wish List","Add to Wish List"
"Add to Compare","Add to Compare"
"Apply Coupon","Apply Coupon"
"Enter coupon code","Enter coupon code"
"Apply Code","Apply Code"
"Cancel Coupon","Cancel Coupon"
"%1 Items in shopping cart","%1 Items in shopping cart"
"Shopping Cart Items","Shopping Cart Items"
"Continue Shopping","Continue Shopping"
"Clear Shopping Cart","Clear Shopping Cart"
"Update Shopping Cart","Update Shopping Cart"
Item,Item
"See price before order confirmation.","See price before order confirmation."
"What's this?","What's this?"
Qty,Qty
Subtotal,Subtotal
"Estimate Tax","Estimate Tax"
"Estimate Shipping and Tax","Estimate Shipping and Tax"
"Thanks for your order. We sent you the confirmation email along with order details and tracking info.","Thanks for your order. We sent you the confirmation email along with order details and tracking info."
"Your Order Id is","Your Order Id is"
" #%1."," #%1."
"Your order # is: <span>%1</span>.","Your order # is: <span>%1</span>."
Proceed,Proceed
"Buy Now","Buy Now"
"Required Quantity","Required Quantity"
Change,Change
"Contact Information","Contact Information"
Address,Address
"Street Address: Line %1","Street Address: Line %1"
"Street Address %1","Street Address %1"
City,City
"It's a default billing address.","It's a default billing address."
"Use as my default billing address","Use as my default billing address"
"It's a default shipping address.","It's a default shipping address."
"Use as my default shipping address","Use as my default shipping address"
"Save Address","Save Address"
"Go back","Go back"
Currency,Currency
"Your order is confirmed!","Your order is confirmed!"
"Thanks for your order. We sent you the confirmation email along with order and and pick-up confirmation with details.","Thanks for your order. We sent you the confirmation email along with order and and pick-up confirmation with details."
" %1."," %1."
item,item
Previous,Previous
Remove,Remove
"Remove This Item","Remove This Item"
"Shop By","Shop By"
"Shop by","Shop by"
"Clear All","Clear All"
"Ship to Multiple Address","Ship to Multiple Address"
"Please select a shipping address for applicable items.","Please select a shipping address for applicable items."
Product,Product
